cdn_cliente,num_aval1,num_aval2,dt_inscricao,l_cpf,estrutura,Bloqueado,log_ativo,mot_ativo,cdn_repres,dat_usuario,origem,cdn_grupo_cliente,tipo_produtor,safra_crm,dt_implant_ini,cliente_novo,dt_ult_movto,safra_ult_movto,situacao,cliente_foco,log-utiliza-portal,data-ativacao,data-inativacao,log_ativo_pa,log_cliente_pet,cod_rep_secundario,apl_classif_produtor,apl_dt_valid_classif,cod_transp,log_participante_bayer,log_cooperativa
1,0,0,1999-11-01,False,Médio,False,True,COOP Nº 6502  - 23/07/2009,35006,2021-08-25,D,1,PRMAX,"2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2023/2024,2024/2024,2024/2025,2025/2025,2025/2026,2026/2026,2026/2027,2027/2027",1999-11-01,False,2023-09-29,2023/2024,Ativo,False,True,2015-12-10,(null),True,True,19069,1.0,9999-12-31,71214,False,False
2,0,0,1996-03-01,False,Mini,False,True,,28000,(null),D,2,PRNAO,"2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2001-06-13,False,2013-12-09,2013/2014,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71215,False,False
3,0,0,1996-01-24,False,Grande1,False,True,,20000,2016-02-23,D,3,PRMED,"2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2019/2020,2020/2020,2020/2021,2021/2021,2021/2022,2022/2022,2023/2023,2022/2023,2024/2024,2023/2024,2024/2025,2025/2025",2001-06-30,False,2022-11-24,2022/2023,Ativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,48549,False,False
4,0,0,1996-03-04,False,Grande1,False,True,,49010,(null),D,4,PRMED,"2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2015,2019/2020,2020/2020,2020/2021,2021/2021,2021/2022,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025",2005-06-16,False,2023-09-27,2023/2024,Ativo,False,True,2015-09-29,(null),True,False,0,50.0,9999-12-31,1241,False,False
5,0,0,1996-01-24,False,Grande1,False,True,,23100,(null),D,5,PRMED,"2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2016/2017,2017/2017,2017/2018,18/18,2018/2019,2018/2018,2019/2019,2019/2020,20/21,2020/2021,2020/2020,2021/2022,2021/2021,2022/2022,2024/2024,2024/2025,2025/2025",2000-01-04,False,2020-01-13,2020/2020,Ativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,71216,False,False
7,0,0,1996-01-24,False,Pequeno,False,True,,9038,2016-03-12,D,7,PRMIN,"2017/2018,2017/2017,2016/2017,2016/2016,2018/2018,2018/2019,2019/2020,2019/2019,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2024/2024,2024/2025,2025/2025",1999-11-01,False,2023-09-01,2023/2024,Ativo,False,True,2015-11-11,(null),True,False,0,1.0,9999-12-31,1774,False,False
8,0,0,1996-01-24,False,Mini,False,True,,31041,(null),D,8441,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2017/2017,2017/2018,2018/2018,2018/2019,2015,2019/2019,2019/2020,2020/2020,2020/2021,2021/2021,2021/2022,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025",2000-01-04,False,2022-07-04,2022/2023,Ativo,False,True,2015-12-07,(null),False,False,0,1.0,9999-12-31,71218,False,False
9,0,0,1996-01-24,False,Grande1,False,True,,30018,2016-12-06,D,9,PRMED,"2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025,2024",1999-11-01,False,2023-09-23,2023/2024,Ativo,False,False,(null),(null),True,False,0,1.0,9999-12-31,71219,False,False
10,0,0,1996-01-24,False,Grande,True,False,Falecido,23000,2017-12-29,D,10,,2019/2019,2000-01-04,False,2001-09-27,2001/2001,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
11,0,0,1996-01-24,False,Grande,False,False,Demissionário,7004,(null),D,11,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
